Container_size, 33554432,key_space, 148034
request bin, mean_latency, sd
0, 27.140070, 1.270835
1, 11.681370, 0.778539
2, 6.487140, 0.817900
3, 3.823710, 0.825146
4, 2.396100, 0.777352
5, 1.580360, 0.795590
6, 1.134000, 0.686455
7, 0.872530, 0.581333
8, 0.732060, 0.531503
9, 0.640710, 0.433509
10, 0.593680, 0.387625
11, 0.566510, 0.370538
12, 0.535560, 0.281031
13, 0.517980, 0.259206
14, 0.496710, 0.205180
15, 0.485160, 0.186818
16, 0.478610, 0.174421
17, 0.465960, 0.146474
18, 0.457210, 0.122303
19, 0.453480, 0.118073
20, 0.449370, 0.082053
21, 0.447230, 0.082224
22, 0.442050, 0.066307
23, 0.436150, 0.055675
24, 0.436070, 0.063134
25, 0.432730, 0.050299
26, 0.430560, 0.046432
27, 0.426280, 0.036766
28, 0.425970, 0.027410
29, 0.423050, 0.034052
30, 0.420390, 0.024116
31, 0.418410, 0.031327
32, 0.417300, 0.025360
33, 0.415100, 0.022213
34, 0.414690, 0.031172
35, 0.412190, 0.029739
36, 0.410380, 0.019892
37, 0.407700, 0.022968
38, 0.407100, 0.016689
39, 0.408950, 0.022403
40, 0.407350, 0.022480
41, 0.405760, 0.022278
42, 0.405690, 0.020423
43, 0.400390, 0.019286
44, 0.404360, 0.022648
45, 0.399790, 0.014442
46, 0.400210, 0.026512
47, 0.397670, 0.015920
48, 0.396350, 0.015722
49, 0.394900, 0.017624
50, 0.395150, 0.015136
51, 0.391990, 0.013706
52, 0.392950, 0.015114
53, 0.392390, 0.016228
54, 0.389080, 0.012766
55, 0.388620, 0.011876
56, 0.388680, 0.013930
57, 0.388020, 0.014065
58, 0.386380, 0.013710
59, 0.385270, 0.012829
60, 0.387170, 0.017983
61, 0.386680, 0.020900
62, 0.384750, 0.015638
63, 0.383630, 0.014729
64, 0.383210, 0.015887
65, 0.382990, 0.014244
66, 0.381610, 0.014790
67, 0.379900, 0.013206
68, 0.380350, 0.019056
69, 0.378400, 0.012296
70, 0.379170, 0.014301
71, 0.377190, 0.012780
72, 0.377490, 0.014514
73, 0.376420, 0.012631
74, 0.375480, 0.012800
75, 0.376220, 0.014470
76, 0.374420, 0.012810
77, 0.373880, 0.011776
78, 0.373650, 0.013165
79, 0.373140, 0.014201
80, 0.373470, 0.014072
81, 0.372680, 0.014363
82, 0.371470, 0.013512
83, 0.372060, 0.019255
84, 0.370730, 0.014225
85, 0.370140, 0.013695
86, 0.371290, 0.016873
87, 0.369280, 0.012956
88, 0.369630, 0.014102
89, 0.369170, 0.014273
90, 0.368790, 0.014208
91, 0.367730, 0.012840
92, 0.366900, 0.012315
93, 0.366670, 0.013239
94, 0.366780, 0.014144
95, 0.366090, 0.013704
96, 0.365760, 0.014498
97, 0.366150, 0.015011
98, 0.365220, 0.014427
99, 0.364510, 0.013960
