Container_size, 268435456,key_space, 1184274
time in milli second, mean_latency,95 percentile, throuhgput
 75.021000, 45.997754, 93.999000, 1616, 1591
 150.023000, 32.211143, 48.862000, 2300, 2170
 225.008000, 26.137496, 48.242000, 2827, 2548
 300.022000, 23.251588, 47.187000, 3176, 2728
 375.021000, 20.895311, 34.741000, 3528, 2823
 450.022000, 20.065388, 34.327000, 3673, 2808
 525.017000, 17.941634, 26.228000, 4101, 2842
 600.024000, 17.140878, 25.936000, 4292, 2853
 675.003000, 15.529966, 25.981000, 4730, 2808
 750.002000, 14.325837, 25.444000, 5124, 2826
 825.020000, 12.749382, 25.184000, 5748, 2833
 900.010000, 11.708442, 25.088000, 6249, 2817
 975.007000, 10.244163, 25.007000, 7125, 2809
 1050.016000, 8.903921, 24.917000, 8175, 2774
 1125.001000, 7.620107, 24.787000, 9508, 2724
 1200.010000, 6.368994, 24.645000, 11327, 2672
 1275.003000, 5.169193, 24.582000, 13850, 2586
 1350.001000, 3.954808, 24.520000, 17870, 2461
 1425.006000, 2.927882, 24.498000, 23736, 2251
 1500.001000, 2.010873, 24.205000, 33493, 1908
 1575.001000, 1.220024, 0.853000, 52095, 1259
 1650.001000, 0.839443, 0.790000, 70840, 578
 1725.001000, 0.695215, 0.848000, 82279, 130
 1800.001000, 0.684316, 0.908000, 83737, 44
 1875.001000, 0.659041, 0.852000, 86038, 10
 1950.001000, 0.738729, 0.951000, 79539, 1
 2025.001000, 0.793167, 1.004000, 75820, 0
 2100.001000, 0.799265, 1.013000, 75335, 0
 2175.001000, 0.801150, 1.013000, 75142, 0
