Container_size, 268435456,key_space, 1184274
time in milli second, mean_latency,95 percentile, throuhgput
 100.009000, 72.932640, 124.742000, 1363, 1337
 200.032000, 51.648529, 79.974000, 1922, 1757
 300.006000, 39.163064, 78.020000, 2529, 2083
 400.016000, 32.971031, 76.979000, 3002, 2275
 500.045000, 28.167395, 74.273000, 3510, 2346
 600.022000, 24.103926, 41.444000, 4095, 2402
 700.021000, 20.361193, 40.939000, 4838, 2389
 800.017000, 16.340725, 40.416000, 6013, 2427
 900.037000, 13.196567, 39.752000, 7421, 2416
 1000.032000, 10.737801, 39.591000, 9082, 2391
 1100.010000, 6.948696, 38.890000, 13889, 2338
 1200.040000, 3.280975, 33.882000, 28424, 1992
 1300.001000, 1.010446, 0.906000, 80600, 753
 1400.001000, 0.650692, 0.912000, 116462, 0
 1500.001000, 0.804442, 1.012000, 99562, 0
 1600.001000, 0.805299, 1.017000, 99400, 0
 1700.001000, 0.808483, 1.025000, 99081, 0
 1800.001000, 0.810968, 1.026000, 98810, 0
 1900.001000, 0.814141, 1.030000, 98600, 0
 2000.001000, 0.816593, 1.031000, 98392, 0
 2100.001000, 0.819449, 1.034000, 97918, 0
 2200.001000, 0.818196, 1.034000, 98128, 0
