Container_size, 2097152,key_space, 9252
request bin, mean_latency, sd
0, 3.665590, 0.429143
1, 0.329370, 0.007133
2, 0.326470, 0.006235
3, 0.325940, 0.005983
4, 0.325350, 0.005588
5, 0.325190, 0.005469
6, 0.325320, 0.005961
7, 0.325160, 0.005349
8, 0.324680, 0.005760
9, 0.325620, 0.005933
10, 0.324730, 0.005349
11, 0.325140, 0.006073
12, 0.324640, 0.005445
13, 0.324170, 0.005320
14, 0.319850, 0.008080
15, 0.314340, 0.009458
16, 0.308600, 0.006954
17, 0.307160, 0.005484
18, 0.306680, 0.006305
19, 0.306640, 0.005949
20, 0.306710, 0.005505
21, 0.306460, 0.006007
22, 0.306700, 0.005536
23, 0.306900, 0.006039
24, 0.306610, 0.006210
25, 0.306590, 0.005485
26, 0.306480, 0.006133
27, 0.306520, 0.005514
28, 0.306490, 0.006044
29, 0.306470, 0.006233
30, 0.306620, 0.005926
31, 0.306470, 0.006077
32, 0.306330, 0.005584
33, 0.307070, 0.006077
34, 0.306650, 0.006226
35, 0.306590, 0.005586
36, 0.306560, 0.006154
37, 0.306460, 0.005380
38, 0.306760, 0.006099
39, 0.306620, 0.006091
40, 0.306570, 0.005572
41, 0.306600, 0.006510
42, 0.306490, 0.005583
43, 0.306690, 0.006324
44, 0.306660, 0.006183
45, 0.306550, 0.005684
46, 0.306760, 0.006145
47, 0.306490, 0.005427
48, 0.306920, 0.006123
49, 0.306510, 0.005851
50, 0.306860, 0.005479
51, 0.306590, 0.005552
52, 0.306440, 0.005226
53, 0.306410, 0.005904
54, 0.306480, 0.005640
55, 0.306470, 0.005224
56, 0.306520, 0.005640
57, 0.306390, 0.005065
58, 0.306300, 0.005822
59, 0.306480, 0.005703
60, 0.306200, 0.005113
61, 0.306690, 0.005737
62, 0.306530, 0.005401
63, 0.306590, 0.005580
64, 0.306450, 0.005731
65, 0.307100, 0.005205
66, 0.306680, 0.005600
67, 0.306250, 0.005094
68, 0.306560, 0.005631
69, 0.306510, 0.005552
70, 0.306330, 0.005132
71, 0.306470, 0.005714
72, 0.306540, 0.005222
73, 0.306240, 0.005762
74, 0.306720, 0.005769
75, 0.306410, 0.005076
76, 0.306710, 0.005761
77, 0.306560, 0.005558
78, 0.306530, 0.005758
79, 0.306780, 0.005653
80, 0.306530, 0.005281
81, 0.306810, 0.006149
82, 0.306400, 0.005159
83, 0.306650, 0.005677
84, 0.306610, 0.005526
85, 0.306510, 0.005055
86, 0.306350, 0.005640
87, 0.306570, 0.005068
88, 0.306520, 0.005635
89, 0.306790, 0.005917
90, 0.306380, 0.005246
91, 0.306410, 0.005580
92, 0.306380, 0.005194
93, 0.306540, 0.005592
94, 0.306410, 0.005430
95, 0.306300, 0.005216
96, 0.306500, 0.005730
97, 0.306340, 0.005170
98, 0.306430, 0.005726
99, 0.306420, 0.005720
100, 0.306560, 0.005074
101, 0.306500, 0.005956
102, 0.306350, 0.005228
103, 0.306530, 0.005588
104, 0.306250, 0.005647
105, 0.306390, 0.005255
106, 0.306460, 0.005643
107, 0.306310, 0.005051
108, 0.306150, 0.005498
109, 0.306340, 0.005807
110, 0.306370, 0.005061
111, 0.306350, 0.005757
112, 0.306250, 0.005203
113, 0.306400, 0.005667
114, 0.306310, 0.005484
115, 0.306450, 0.005156
116, 0.306420, 0.005350
117, 0.306370, 0.005039
118, 0.306610, 0.005464
119, 0.306330, 0.005541
120, 0.306420, 0.005309
121, 0.306360, 0.005661
122, 0.306460, 0.005145
123, 0.306450, 0.005742
124, 0.306550, 0.005710
125, 0.306210, 0.004997
126, 0.306320, 0.005836
127, 0.306390, 0.005305
128, 0.306610, 0.005508
129, 0.307110, 0.005650
130, 0.306680, 0.005124
131, 0.306510, 0.005560
132, 0.306290, 0.005092
133, 0.306540, 0.005608
134, 0.306420, 0.005666
135, 0.306290, 0.005227
136, 0.306530, 0.005809
137, 0.306270, 0.005040
138, 0.306370, 0.005744
139, 0.306540, 0.005742
140, 0.306330, 0.005136
141, 0.306420, 0.005699
142, 0.306450, 0.005220
143, 0.306240, 0.005881
144, 0.306510, 0.005588
145, 0.306360, 0.005226
146, 0.306240, 0.005530
147, 0.306330, 0.005115
148, 0.306390, 0.005760
149, 0.306170, 0.005564
150, 0.306260, 0.004977
151, 0.306370, 0.005679
152, 0.306600, 0.005154
153, 0.306300, 0.005651
154, 0.306500, 0.005780
155, 0.306340, 0.005160
156, 0.306420, 0.005694
157, 0.306520, 0.005153
158, 0.306470, 0.005608
159, 0.306440, 0.005461
160, 0.306270, 0.005248
161, 0.306520, 0.005594
162, 0.306450, 0.005043
163, 0.306440, 0.005550
164, 0.306280, 0.005664
165, 0.306450, 0.005185
166, 0.306440, 0.005819
167, 0.306290, 0.005080
168, 0.306490, 0.005651
169, 0.306550, 0.005647
170, 0.306330, 0.005269
171, 0.306350, 0.005721
172, 0.306460, 0.005249
173, 0.306480, 0.005649
174, 0.306460, 0.005603
175, 0.306250, 0.005125
176, 0.306400, 0.005528
177, 0.306240, 0.005181
178, 0.306250, 0.005509
179, 0.306380, 0.005642
180, 0.306340, 0.005125
181, 0.306200, 0.005704
182, 0.306270, 0.005026
183, 0.306540, 0.005588
184, 0.306330, 0.005977
185, 0.306380, 0.005225
186, 0.306390, 0.005623
187, 0.306150, 0.005056
188, 0.306440, 0.005656
189, 0.306400, 0.005802
190, 0.306220, 0.004967
191, 0.306640, 0.005754
192, 0.306410, 0.005132
193, 0.306360, 0.005684
194, 0.306520, 0.005656
195, 0.306310, 0.005174
196, 0.306740, 0.005619
197, 0.306220, 0.005015
198, 0.306640, 0.005840
199, 0.306290, 0.005597
200, 0.306280, 0.005202
201, 0.306540, 0.005581
202, 0.306390, 0.005211
203, 0.306210, 0.005728
204, 0.306470, 0.005749
205, 0.306270, 0.005142
206, 0.306580, 0.005584
207, 0.306380, 0.005775
208, 0.306360, 0.005102
209, 0.306450, 0.005624
210, 0.306170, 0.005235
211, 0.306460, 0.005672
212, 0.306300, 0.005633
213, 0.306300, 0.005122
214, 0.306490, 0.005451
215, 0.306350, 0.005174
216, 0.306160, 0.005585
217, 0.306560, 0.005762
218, 0.306380, 0.005097
219, 0.306500, 0.005890
220, 0.306220, 0.005186
221, 0.306400, 0.005579
222, 0.306290, 0.005682
223, 0.306480, 0.005047
224, 0.306370, 0.005663
225, 0.306310, 0.005063
226, 0.306210, 0.005608
227, 0.306420, 0.005509
228, 0.306430, 0.005064
229, 0.306340, 0.005622
230, 0.306430, 0.005074
231, 0.306470, 0.005833
232, 0.306290, 0.005859
233, 0.306300, 0.005045
234, 0.306660, 0.005663
235, 0.306400, 0.005161
236, 0.306520, 0.005763
237, 0.306220, 0.005601
238, 0.306280, 0.005142
239, 0.306440, 0.005672
240, 0.306430, 0.005038
241, 0.306470, 0.005721
242, 0.306390, 0.005791
243, 0.306260, 0.005217
244, 0.306470, 0.005599
245, 0.306240, 0.005357
246, 0.306560, 0.005627
247, 0.306530, 0.005674
248, 0.306280, 0.005171
249, 0.306500, 0.005642
250, 0.306340, 0.005040
251, 0.306440, 0.005691
252, 0.306510, 0.005620
253, 0.306420, 0.005208
254, 0.306320, 0.005571
255, 0.306270, 0.005553
256, 0.306320, 0.005709
257, 0.307050, 0.005586
258, 0.306730, 0.005184
259, 0.306610, 0.005513
260, 0.306520, 0.005164
261, 0.306270, 0.005933
262, 0.306490, 0.005703
263, 0.306470, 0.005131
264, 0.306460, 0.005395
265, 0.306450, 0.005047
266, 0.306480, 0.005728
267, 0.306390, 0.005839
268, 0.306300, 0.005090
269, 0.306420, 0.005627
270, 0.306580, 0.005133
271, 0.306560, 0.005514
272, 0.306580, 0.005769
273, 0.306460, 0.005176
274, 0.306350, 0.005547
275, 0.306480, 0.005201
276, 0.306690, 0.005946
277, 0.306440, 0.005700
278, 0.306390, 0.005111
279, 0.306710, 0.006077
280, 0.306300, 0.005114
281, 0.306550, 0.005881
282, 0.306410, 0.005568
283, 0.306360, 0.005120
284, 0.306430, 0.005837
285, 0.306380, 0.005215
286, 0.306360, 0.005644
287, 0.306380, 0.005484
288, 0.306290, 0.005094
289, 0.306310, 0.005601
290, 0.306260, 0.005203
291, 0.306580, 0.005957
292, 0.306490, 0.005527
293, 0.306190, 0.005106
294, 0.306420, 0.005636
295, 0.306250, 0.005076
296, 0.306480, 0.005649
297, 0.306490, 0.005728
298, 0.306200, 0.005337
299, 0.306390, 0.005535
300, 0.306090, 0.005140
301, 0.306540, 0.005570
302, 0.306280, 0.005575
303, 0.306410, 0.005361
304, 0.306190, 0.005655
305, 0.306190, 0.005043
306, 0.306330, 0.005689
307, 0.306480, 0.005857
308, 0.306310, 0.005027
309, 0.306550, 0.005698
310, 0.306120, 0.005275
311, 0.306640, 0.005615
312, 0.306430, 0.005747
313, 0.306290, 0.005197
314, 0.306640, 0.005792
315, 0.306410, 0.005123
316, 0.306380, 0.005639
317, 0.306330, 0.005605
318, 0.306530, 0.004930
319, 0.306380, 0.005569
320, 0.306540, 0.005382
321, 0.306400, 0.005694
322, 0.306400, 0.005550
323, 0.306420, 0.005339
324, 0.306440, 0.005663
325, 0.306400, 0.005183
326, 0.306330, 0.005718
327, 0.306490, 0.005670
328, 0.306280, 0.005198
329, 0.306330, 0.005657
330, 0.306340, 0.005179
331, 0.306360, 0.005668
332, 0.306390, 0.005657
333, 0.306440, 0.005203
334, 0.306130, 0.005619
335, 0.306250, 0.005131
336, 0.306410, 0.005573
337, 0.306460, 0.005579
338, 0.306250, 0.005275
339, 0.306180, 0.005509
340, 0.306340, 0.005154
341, 0.306440, 0.005572
342, 0.306290, 0.005521
343, 0.306290, 0.005170
344, 0.306440, 0.005684
345, 0.306030, 0.005106
346, 0.306490, 0.005622
347, 0.306320, 0.005605
348, 0.306540, 0.005106
349, 0.306420, 0.005559
350, 0.306420, 0.005195
351, 0.306420, 0.005830
352, 0.306510, 0.005631
353, 0.306370, 0.005279
354, 0.306410, 0.005722
355, 0.306260, 0.005205
356, 0.306410, 0.005678
357, 0.306350, 0.005721
358, 0.306330, 0.005050
359, 0.306530, 0.005617
360, 0.306300, 0.005199
361, 0.306470, 0.005531
362, 0.306470, 0.005920
363, 0.306280, 0.004982
364, 0.306480, 0.005473
365, 0.306250, 0.005145
366, 0.306480, 0.005677
367, 0.306330, 0.005703
368, 0.306270, 0.005310
369, 0.306430, 0.005512
370, 0.306420, 0.005080
371, 0.306300, 0.005745
372, 0.306410, 0.005650
373, 0.306250, 0.005104
374, 0.306360, 0.005810
375, 0.306340, 0.005198
376, 0.306340, 0.005447
377, 0.306370, 0.005635
378, 0.306180, 0.005086
379, 0.306390, 0.005521
380, 0.306430, 0.004954
381, 0.306410, 0.005687
382, 0.306400, 0.005453
383, 0.306140, 0.005181
384, 0.306420, 0.005575
385, 0.306430, 0.005133
386, 0.306290, 0.005670
387, 0.306440, 0.005538
388, 0.306360, 0.005147
389, 0.306270, 0.005637
390, 0.306460, 0.005127
391, 0.306420, 0.005577
392, 0.306430, 0.005563
393, 0.306370, 0.005232
394, 0.306480, 0.005684
395, 0.306180, 0.005147
396, 0.306440, 0.005701
397, 0.306280, 0.005597
398, 0.306510, 0.005302
399, 0.306270, 0.005737
400, 0.306510, 0.005139
401, 0.306160, 0.005509
402, 0.306520, 0.005663
403, 0.306260, 0.005172
404, 0.306380, 0.005515
405, 0.306430, 0.005078
406, 0.306600, 0.005892
407, 0.306490, 0.005513
408, 0.306190, 0.005130
409, 0.306530, 0.005649
410, 0.306360, 0.005377
411, 0.306550, 0.005613
412, 0.306160, 0.005770
413, 0.306390, 0.005179
414, 0.306380, 0.005609
415, 0.306460, 0.005613
416, 0.306410, 0.005237
417, 0.306300, 0.005628
418, 0.306140, 0.005301
419, 0.306390, 0.005798
420, 0.306380, 0.005473
421, 0.306140, 0.005267
422, 0.306490, 0.005578
423, 0.306260, 0.005033
424, 0.306310, 0.005528
425, 0.306340, 0.005600
426, 0.306440, 0.005141
427, 0.306560, 0.005498
428, 0.306400, 0.005187
429, 0.306640, 0.005794
430, 0.306390, 0.005841
431, 0.306700, 0.005086
432, 0.306420, 0.005536
433, 0.306260, 0.005245
434, 0.306370, 0.005665
435, 0.306310, 0.005677
436, 0.306430, 0.005322
437, 0.306570, 0.005673
438, 0.306060, 0.005175
439, 0.306520, 0.005574
440, 0.306400, 0.005557
441, 0.306350, 0.005287
442, 0.306530, 0.005587
443, 0.306240, 0.005132
444, 0.306520, 0.005513
445, 0.306330, 0.005809
446, 0.306390, 0.005190
447, 0.306320, 0.005600
448, 0.306430, 0.005044
449, 0.306440, 0.005675
450, 0.306360, 0.005660
451, 0.306300, 0.005489
452, 0.306650, 0.005642
453, 0.306200, 0.005250
454, 0.306520, 0.005513
455, 0.306540, 0.005583
456, 0.306250, 0.005123
457, 0.306480, 0.005823
458, 0.306370, 0.005167
459, 0.306460, 0.005554
460, 0.306550, 0.005594
461, 0.306350, 0.005070
462, 0.306320, 0.005650
463, 0.306330, 0.005134
464, 0.306280, 0.005555
465, 0.306550, 0.005726
466, 0.306310, 0.005063
467, 0.306540, 0.005658
468, 0.306390, 0.005293
469, 0.306380, 0.005801
470, 0.306440, 0.005599
471, 0.306420, 0.005121
472, 0.306420, 0.005641
473, 0.306440, 0.005135
474, 0.306320, 0.005642
475, 0.306290, 0.005584
476, 0.306390, 0.005063
477, 0.306230, 0.005553
478, 0.306450, 0.005125
479, 0.306410, 0.005586
480, 0.306340, 0.005761
481, 0.306440, 0.005222
482, 0.306770, 0.006326
483, 0.306410, 0.005154
484, 0.306510, 0.005691
485, 0.306330, 0.005687
486, 0.306220, 0.005155
487, 0.306500, 0.005629
488, 0.306350, 0.005078
489, 0.306360, 0.005567
490, 0.306260, 0.005760
491, 0.306430, 0.005034
492, 0.306180, 0.005686
493, 0.306390, 0.005350
494, 0.306440, 0.005636
495, 0.306630, 0.005447
496, 0.306270, 0.005299
497, 0.306270, 0.005582
498, 0.306220, 0.005096
499, 0.306430, 0.005602
500, 0.306410, 0.005600
501, 0.306320, 0.005114
502, 0.306390, 0.005619
503, 0.306130, 0.005094
504, 0.306500, 0.005489
505, 0.306520, 0.005833
506, 0.306330, 0.005267
507, 0.306450, 0.005482
508, 0.306230, 0.005042
509, 0.306620, 0.005777
510, 0.306450, 0.005491
511, 0.306300, 0.005308
512, 0.306320, 0.005777
513, 0.307320, 0.005227
514, 0.306790, 0.005776
515, 0.306550, 0.005757
516, 0.306340, 0.005121
517, 0.306520, 0.005861
518, 0.306330, 0.005246
519, 0.306510, 0.005569
520, 0.306440, 0.005615
521, 0.306470, 0.005195
522, 0.306540, 0.005509
523, 0.306330, 0.005162
524, 0.306330, 0.005722
525, 0.306470, 0.005585
526, 0.306420, 0.005002
527, 0.306310, 0.005633
528, 0.306320, 0.005265
529, 0.306240, 0.005643
530, 0.306430, 0.005694
531, 0.306380, 0.005101
532, 0.306400, 0.005648
533, 0.306400, 0.005054
534, 0.306400, 0.005602
535, 0.306390, 0.005646
536, 0.306150, 0.005119
537, 0.306380, 0.005679
538, 0.306390, 0.005085
539, 0.306470, 0.005569
540, 0.306420, 0.005823
541, 0.306400, 0.005117
542, 0.306180, 0.005670
543, 0.306340, 0.005152
544, 0.306510, 0.005507
545, 0.306560, 0.005601
546, 0.306440, 0.005146
547, 0.306530, 0.005569
548, 0.306340, 0.005282
549, 0.306580, 0.005591
550, 0.306520, 0.005695
551, 0.306480, 0.005554
552, 0.306490, 0.005636
553, 0.306090, 0.005129
554, 0.306610, 0.005727
555, 0.306490, 0.005588
556, 0.306490, 0.005147
557, 0.306490, 0.005711
558, 0.306410, 0.005165
559, 0.306340, 0.005530
560, 0.306560, 0.005708
561, 0.306390, 0.005236
562, 0.306320, 0.005609
563, 0.306310, 0.005055
564, 0.306340, 0.005797
565, 0.306320, 0.005796
566, 0.306340, 0.005144
567, 0.306410, 0.005582
568, 0.306100, 0.005102
569, 0.306300, 0.005460
570, 0.306360, 0.005628
571, 0.306400, 0.005052
572, 0.306400, 0.005675
573, 0.306430, 0.004995
574, 0.306400, 0.005680
575, 0.306350, 0.005518
576, 0.306330, 0.005337
577, 0.306320, 0.005591
578, 0.306340, 0.005044
579, 0.306250, 0.005672
580, 0.306340, 0.005670
581, 0.306510, 0.005235
582, 0.306390, 0.005681
583, 0.306390, 0.005126
584, 0.306610, 0.005643
585, 0.306370, 0.005753
586, 0.306300, 0.005187
587, 0.306390, 0.005688
588, 0.306570, 0.005248
589, 0.306500, 0.005744
590, 0.306430, 0.005575
591, 0.306320, 0.005411
592, 0.306400, 0.005625
593, 0.306450, 0.005129
594, 0.306280, 0.005465
595, 0.306440, 0.005652
596, 0.306620, 0.005405
597, 0.306420, 0.005771
598, 0.306330, 0.005091
599, 0.306370, 0.005740
600, 0.306320, 0.005824
601, 0.306500, 0.005379
602, 0.306440, 0.005773
603, 0.306240, 0.005097
604, 0.306230, 0.005562
605, 0.306400, 0.005611
606, 0.306400, 0.005132
607, 0.306590, 0.005579
608, 0.306320, 0.005157
609, 0.306320, 0.005687
610, 0.306610, 0.005619
611, 0.306300, 0.005096
612, 0.306560, 0.005912
613, 0.306320, 0.005042
614, 0.306520, 0.005612
615, 0.306270, 0.005531
616, 0.306290, 0.005076
617, 0.306410, 0.005639
618, 0.306300, 0.005207
619, 0.306360, 0.005619
620, 0.306400, 0.005652
621, 0.306330, 0.005111
622, 0.306470, 0.005597
623, 0.306460, 0.005679
624, 0.306470, 0.005123
625, 0.306550, 0.005618
626, 0.306230, 0.005267
627, 0.306530, 0.005740
628, 0.306460, 0.005462
629, 0.306150, 0.005349
630, 0.306570, 0.005888
631, 0.306440, 0.005141
632, 0.306280, 0.005778
633, 0.306490, 0.005771
634, 0.306370, 0.005033
635, 0.306500, 0.005604
636, 0.306370, 0.005334
637, 0.306410, 0.005545
638, 0.306290, 0.005624
639, 0.306370, 0.005017
