Container_size, 268435456,key_space, 1184274
time in milli second, mean_latency,95 percentile, throuhgput
 335.040000, 0.785759, 0.993000, 101696, 0
 435.040000, 0.780459, 0.994000, 102038, 0
 535.040000, 0.779424, 0.997000, 102281, 0
 635.040000, 0.780934, 1.001000, 102123, 0
 735.040000, 0.783469, 1.003000, 101712, 0
 835.040000, 0.784104, 1.002000, 101830, 0
 935.040000, 0.784230, 1.004000, 101838, 0
 1035.040000, 0.786461, 1.004000, 101600, 0
 1135.040000, 0.787625, 1.005000, 101384, 0
 1235.040000, 0.787622, 1.006000, 101452, 0
 1335.040000, 0.786781, 1.005000, 101555, 0
 1435.040000, 0.786684, 1.006000, 101562, 0
 1535.040000, 0.787753, 1.007000, 101396, 0
 1635.040000, 0.790488, 1.007000, 101013, 0
 1735.040000, 0.788910, 1.008000, 101237, 0
 1835.040000, 0.790136, 1.010000, 101114, 0
 1935.040000, 0.789003, 1.008000, 101356, 0
 2035.045000, 0.789782, 1.007000, 101208, 0
 2135.040000, 0.794299, 1.010000, 100487, 0
