Container_size, 268435456,key_space, 1282963
time in milli second, mean_latency,95 percentile, throuhgput
 254.999000, 0.935717, 1.103000, 17393, 0
 274.999000, 0.902633, 1.096000, 18012, 0
 294.999000, 0.901638, 1.101000, 18046, 0
 314.999000, 0.892249, 1.096000, 18195, 0
 335.000000, 0.889210, 1.092000, 18246, 0
 354.999000, 0.888257, 1.091000, 18229, 0
 374.999000, 0.813130, 1.036000, 19720, 0
 394.999000, 0.777798, 0.969000, 20498, 0
 414.999000, 0.776998, 0.972000, 20480, 0
 434.999000, 0.777228, 0.966000, 20515, 0
 454.999000, 0.776981, 0.964000, 20498, 0
 474.999000, 0.778377, 0.966000, 20489, 0
 494.999000, 0.777119, 0.970000, 20510, 0
 514.999000, 0.776983, 0.965000, 20494, 0
 534.999000, 0.776382, 0.970000, 20513, 0
 554.999000, 0.778198, 0.967000, 20486, 0
 574.999000, 0.777764, 0.965000, 20495, 0
 594.999000, 0.780056, 0.965000, 20427, 0
 614.999000, 0.777718, 0.967000, 20490, 0
 634.999000, 0.777387, 0.965000, 20503, 0
 654.999000, 0.778657, 0.962000, 20482, 0
 674.999000, 0.777588, 0.964000, 20494, 0
 694.999000, 0.779752, 0.968000, 20467, 0
 714.999000, 0.781940, 0.971000, 20414, 0
 735.002000, 0.777552, 0.970000, 20510, 0
 754.999000, 0.778776, 0.969000, 20481, 0
 774.999000, 0.776423, 0.969000, 20523, 0
 794.999000, 0.777021, 0.967000, 20515, 0
 814.999000, 0.778149, 0.969000, 20480, 0
 834.999000, 0.778223, 0.963000, 20485, 0
 854.999000, 0.779165, 0.971000, 20425, 0
 874.999000, 0.776485, 0.966000, 20514, 0
 894.999000, 0.777605, 0.965000, 20487, 0
 914.999000, 0.780050, 0.972000, 20436, 0
 934.999000, 0.779056, 0.964000, 20470, 0
 954.999000, 0.780370, 0.967000, 20427, 0
 974.999000, 0.781614, 0.967000, 20422, 0
 994.999000, 0.778614, 0.970000, 20482, 0
 1014.999000, 0.777495, 0.967000, 20493, 0
 1034.999000, 0.779830, 0.969000, 20454, 0
 1054.999000, 0.777463, 0.972000, 20507, 0
 1074.999000, 0.776703, 0.971000, 20502, 0
 1094.999000, 0.780888, 0.970000, 20417, 0
 1114.999000, 0.778484, 0.970000, 20462, 0
 1134.999000, 0.778220, 0.965000, 20486, 0
 1154.999000, 0.776805, 0.969000, 20519, 0
 1174.999000, 0.776797, 0.969000, 20523, 0
 1194.999000, 0.776412, 0.964000, 20526, 0
 1214.999000, 0.778960, 0.967000, 20460, 0
 1234.999000, 0.776769, 0.970000, 20517, 0
 1254.999000, 0.776999, 0.970000, 20504, 0
 1274.999000, 0.775936, 0.963000, 20554, 0
 1294.999000, 0.777245, 0.970000, 20530, 0
 1314.999000, 0.779426, 0.964000, 20409, 0
 1334.999000, 0.780404, 0.971000, 20427, 0
 1354.999000, 0.779613, 0.966000, 20436, 0
 1374.999000, 0.776982, 0.969000, 20510, 0
 1394.999000, 0.775504, 0.968000, 20547, 0
 1414.999000, 0.777610, 0.970000, 20503, 0
 1434.999000, 0.776463, 0.961000, 20529, 0
 1454.999000, 0.776261, 0.961000, 20527, 0
 1474.999000, 0.777585, 0.962000, 20497, 0
 1494.999000, 0.776616, 0.967000, 20529, 0
 1514.999000, 0.778986, 0.965000, 20461, 0
 1534.999000, 0.778263, 0.972000, 20480, 0
 1554.999000, 0.776615, 0.971000, 20567, 0
 1574.999000, 0.783025, 0.971000, 20430, 0
 1594.999000, 0.779187, 0.973000, 20491, 0
 1614.999000, 0.777690, 0.968000, 20551, 0
 1635.000000, 0.776114, 0.965000, 20573, 0
 1654.999000, 0.777052, 0.966000, 20548, 0
 1674.999000, 0.776998, 0.969000, 20560, 0
 1694.999000, 0.775887, 0.970000, 20578, 0
 1714.999000, 0.779992, 0.960000, 20483, 0
 1734.999000, 0.775830, 0.971000, 20590, 0
 1754.999000, 0.775184, 0.967000, 20606, 0
 1774.999000, 0.776710, 0.969000, 20564, 0
 1794.999000, 0.775346, 0.962000, 20587, 0
